VARIABLE,TABLA,TABLA INSUMO
F.MTO_LIN_RFC,,dbriskdatamart.JAT_MCV_VAR_PEDRO__${FECHA_CALIFICACION},tbl_cat_alerta_temp & tbl_carteracrediticia
F.PCT_REV,,dbriskdatamart.JAT_MCV_VAR_PEDRO__${FECHA_CALIFICACION},tbl_cat_alerta_temp & tbl_carteracrediticia
F.PI,,dbriskdatamart.JAT_MCV_VAR_PEDRO__${FECHA_CALIFICACION},tbl_cat_alerta_temp & tbl_carteracrediticia
F.SDO,,dbriskdatamart.JAT_MCV_VAR_PEDRO__${FECHA_CALIFICACION},tbl_cat_alerta_temp & tbl_carteracrediticia
F.TERR_,,dbriskdatamart.JAT_MCV_VAR_PEDRO__${FECHA_CALIFICACION},tbl_cat_alerta_temp & tbl_carteracrediticia
F.VCC_REV_SMP,,dbriskdatamart.JAT_MCV_VAR_PEDRO__${FECHA_CALIFICACION},tbl_cat_alerta_temp & tbl_carteracrediticia
A.RFC,,DBMYMWORK.JAT_MCV_VAR_VP2_${FECHA_CALIFICACION},BANREGIO_BOI.voluntaddepago_diario 
A.FECHA,,DBMYMWORK.JAT_MCV_VAR_VP2_${FECHA_CALIFICACION},BANREGIO_BOI.voluntaddepago_diario 
A.foliorespuestabc as FOLIO,,DBMYMWORK.JAT_MCV_VAR_VP2_${FECHA_CALIFICACION},BANREGIO_BOI.voluntaddepago_diario 
B.MAX_DIAS_PARA_PAGO,,DBMYMWORK.JAT_MCV_VAR_VP2_${FECHA_CALIFICACION},BANREGIO_BOI.voluntaddepago_diario 
B.SUM_AMORTIZACIONEXIGIBLE,,DBMYMWORK.JAT_MCV_VAR_VP2_${FECHA_CALIFICACION},BANREGIO_BOI.voluntaddepago_diario 
B.SUM_PAGOREALIZADO_MES,,DBMYMWORK.JAT_MCV_VAR_VP2_${FECHA_CALIFICACION},BANREGIO_BOI.voluntaddepago_diario 
B.SUM_PAGOREALIZADO_PERIODO,,DBMYMWORK.JAT_MCV_VAR_VP2_${FECHA_CALIFICACION},BANREGIO_BOI.voluntaddepago_diario 
C.AVG_AVG1_VP_MES_U03M,,DBMYMWORK.JAT_MCV_VAR_VP2_${FECHA_CALIFICACION},BANREGIO_BOI.voluntaddepago_diario 
C.AVG_AVG1_VP_MES_U06M,,DBMYMWORK.JAT_MCV_VAR_VP2_${FECHA_CALIFICACION},BANREGIO_BOI.voluntaddepago_diario 
C.AVG_AVG1_VP_MES_U12M,,DBMYMWORK.JAT_MCV_VAR_VP2_${FECHA_CALIFICACION},BANREGIO_BOI.voluntaddepago_diario 
C.AVG_AVG1_VP_PER_U03M,,DBMYMWORK.JAT_MCV_VAR_VP2_${FECHA_CALIFICACION},BANREGIO_BOI.voluntaddepago_diario 
C.AVG_AVG1_VP_PER_U12M,,DBMYMWORK.JAT_MCV_VAR_VP2_${FECHA_CALIFICACION},BANREGIO_BOI.voluntaddepago_diario 
C.AVG_AVG2_VP_MES_U03M,,DBMYMWORK.JAT_MCV_VAR_VP2_${FECHA_CALIFICACION},BANREGIO_BOI.voluntaddepago_diario 
C.AVG_AVG2_VP_PER_U12M,,DBMYMWORK.JAT_MCV_VAR_VP2_${FECHA_CALIFICACION},BANREGIO_BOI.voluntaddepago_diario 
C.AVG_MAX_DIAS_PARA_PAGO_U06M,,DBMYMWORK.JAT_MCV_VAR_VP2_${FECHA_CALIFICACION},BANREGIO_BOI.voluntaddepago_diario 
C.AVG_MAX_DIAS_PARA_PAGO_U12M,,DBMYMWORK.JAT_MCV_VAR_VP2_${FECHA_CALIFICACION},BANREGIO_BOI.voluntaddepago_diario 
C.AVG_MAX_VP_MES_U03M,,DBMYMWORK.JAT_MCV_VAR_VP2_${FECHA_CALIFICACION},BANREGIO_BOI.voluntaddepago_diario 
C.AVG_MAX_VP_MES_U12M,,DBMYMWORK.JAT_MCV_VAR_VP2_${FECHA_CALIFICACION},BANREGIO_BOI.voluntaddepago_diario 
C.AVG_MAX_VP_PER_U03M,,DBMYMWORK.JAT_MCV_VAR_VP2_${FECHA_CALIFICACION},BANREGIO_BOI.voluntaddepago_diario 
C.AVG_MAX_VP_PER_U12M,,DBMYMWORK.JAT_MCV_VAR_VP2_${FECHA_CALIFICACION},BANREGIO_BOI.voluntaddepago_diario 
C.AVG_MIN_VP_MES_U03M,,DBMYMWORK.JAT_MCV_VAR_VP2_${FECHA_CALIFICACION},BANREGIO_BOI.voluntaddepago_diario 
C.AVG_MIN_VP_MES_U06M,,DBMYMWORK.JAT_MCV_VAR_VP2_${FECHA_CALIFICACION},BANREGIO_BOI.voluntaddepago_diario 
C.AVG_MIN_VP_MES_U12M,,DBMYMWORK.JAT_MCV_VAR_VP2_${FECHA_CALIFICACION},BANREGIO_BOI.voluntaddepago_diario 
C.AVG_MIN_VP_PER_U03M,,DBMYMWORK.JAT_MCV_VAR_VP2_${FECHA_CALIFICACION},BANREGIO_BOI.voluntaddepago_diario 
C.AVG_MIN_VP_PER_U06M,,DBMYMWORK.JAT_MCV_VAR_VP2_${FECHA_CALIFICACION},BANREGIO_BOI.voluntaddepago_diario 
C.AVG_MIN_VP_PER_U12M,,DBMYMWORK.JAT_MCV_VAR_VP2_${FECHA_CALIFICACION},BANREGIO_BOI.voluntaddepago_diario 
C.MAX_AVG1_VP_MES_U03M,,DBMYMWORK.JAT_MCV_VAR_VP2_${FECHA_CALIFICACION},BANREGIO_BOI.voluntaddepago_diario 
C.MAX_AVG1_VP_MES_U06M,,DBMYMWORK.JAT_MCV_VAR_VP2_${FECHA_CALIFICACION},BANREGIO_BOI.voluntaddepago_diario 
C.MAX_AVG1_VP_MES_U12M,,DBMYMWORK.JAT_MCV_VAR_VP2_${FECHA_CALIFICACION},BANREGIO_BOI.voluntaddepago_diario 
C.MAX_AVG1_VP_PER_U12M,,DBMYMWORK.JAT_MCV_VAR_VP2_${FECHA_CALIFICACION},BANREGIO_BOI.voluntaddepago_diario 
C.MAX_AVG2_VP_MES_U03M,,DBMYMWORK.JAT_MCV_VAR_VP2_${FECHA_CALIFICACION},BANREGIO_BOI.voluntaddepago_diario 
C.MAX_AVG2_VP_MES_U06M,,DBMYMWORK.JAT_MCV_VAR_VP2_${FECHA_CALIFICACION},BANREGIO_BOI.voluntaddepago_diario 
C.MAX_AVG2_VP_MES_U12M,,DBMYMWORK.JAT_MCV_VAR_VP2_${FECHA_CALIFICACION},BANREGIO_BOI.voluntaddepago_diario 
C.MAX_AVG2_VP_PER_U03M,,DBMYMWORK.JAT_MCV_VAR_VP2_${FECHA_CALIFICACION},BANREGIO_BOI.voluntaddepago_diario 
C.MAX_AVG2_VP_PER_U06M,,DBMYMWORK.JAT_MCV_VAR_VP2_${FECHA_CALIFICACION},BANREGIO_BOI.voluntaddepago_diario 
C.MAX_AVG2_VP_PER_U12M,,DBMYMWORK.JAT_MCV_VAR_VP2_${FECHA_CALIFICACION},BANREGIO_BOI.voluntaddepago_diario 
C.MAX_MAX_VP_MES_U03M,,DBMYMWORK.JAT_MCV_VAR_VP2_${FECHA_CALIFICACION},BANREGIO_BOI.voluntaddepago_diario 
C.MAX_MAX_VP_MES_U12M,,DBMYMWORK.JAT_MCV_VAR_VP2_${FECHA_CALIFICACION},BANREGIO_BOI.voluntaddepago_diario 
C.MAX_MAX_VP_PER_U12M,,DBMYMWORK.JAT_MCV_VAR_VP2_${FECHA_CALIFICACION},BANREGIO_BOI.voluntaddepago_diario 
C.MAX_MIN_VP_MES_U12M,,DBMYMWORK.JAT_MCV_VAR_VP2_${FECHA_CALIFICACION},BANREGIO_BOI.voluntaddepago_diario 
C.MIN_AVG1_VP_MES_U03M,,DBMYMWORK.JAT_MCV_VAR_VP2_${FECHA_CALIFICACION},BANREGIO_BOI.voluntaddepago_diario 
