VARIABLE,TABLA,TABLA INSUMO
E.12_INST,,dbriskdatamart.MZM_MCV_BURO_CAL_PM__${FECHA_CALIFICACION},tbl_burocalificapm_recurrente
E.BK_DEUDA_CP,,dbriskdatamart.MZM_MCV_BURO_CAL_PM__${FECHA_CALIFICACION},tbl_burocalificapm_recurrente
E.BK_DEUDA_TOT,,dbriskdatamart.MZM_MCV_BURO_CAL_PM__${FECHA_CALIFICACION},tbl_burocalificapm_recurrente
E.BK12_MAX_CREDIT_AMT,,dbriskdatamart.MZM_MCV_BURO_CAL_PM__${FECHA_CALIFICACION},tbl_burocalificapm_recurrente
E.BK12_NUM_EXP_PAIDONTIME,,dbriskdatamart.MZM_MCV_BURO_CAL_PM__${FECHA_CALIFICACION},tbl_burocalificapm_recurrente
E.BK12_NUM_TC_ACT,,dbriskdatamart.MZM_MCV_BURO_CAL_PM__${FECHA_CALIFICACION},tbl_burocalificapm_recurrente
E.DEUDA_TOT_CP,,dbriskdatamart.MZM_MCV_BURO_CAL_PM__${FECHA_CALIFICACION},tbl_burocalificapm_recurrente
E.MONTHS_ON_FILE_BANKING,,dbriskdatamart.MZM_MCV_BURO_CAL_PM__${FECHA_CALIFICACION},tbl_burocalificapm_recurrente
E.NBK12_COMM_PCT_PLUS,,dbriskdatamart.MZM_MCV_BURO_CAL_PM__${FECHA_CALIFICACION},tbl_burocalificapm_recurrente
E.NBK12_DEUDA_CP as NBK_DEUDA_CP,,dbriskdatamart.MZM_MCV_BURO_CAL_PM__${FECHA_CALIFICACION},tbl_burocalificapm_recurrente
E.NBK12_DEUDA_TOT as NBK_DEUDA_TOT,,dbriskdatamart.MZM_MCV_BURO_CAL_PM__${FECHA_CALIFICACION},tbl_burocalificapm_recurrente
RFC,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
FOLIO,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
FECHACONSULTA,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
