Variable,TABLA,TABLA INSUMO
rfc,JAT_MCV_VAR_MOVIMIENTOS_LINEA,DBRISKDATAMART.TBL_CARTERACREDITICIA  & DBRISKDATAMART.TBL_DEMOGRAFICOS_IDORIGINAL  & dbriskdatamart.Tbl_MovimientoLineas
fecha,JAT_MCV_VAR_MOVIMIENTOS_LINEA,DBRISKDATAMART.TBL_CARTERACREDITICIA  & DBRISKDATAMART.TBL_DEMOGRAFICOS_IDORIGINAL  & dbriskdatamart.Tbl_MovimientoLineas
ds_ol_cl,JAT_MCV_VAR_MOVIMIENTOS_LINEA,DBRISKDATAMART.TBL_CARTERACREDITICIA  & DBRISKDATAMART.TBL_DEMOGRAFICOS_IDORIGINAL  & dbriskdatamart.Tbl_MovimientoLineas
min_ds_ol_cl,JAT_MCV_VAR_MOVIMIENTOS_LINEA,DBRISKDATAMART.TBL_CARTERACREDITICIA  & DBRISKDATAMART.TBL_DEMOGRAFICOS_IDORIGINAL  & dbriskdatamart.Tbl_MovimientoLineas
ds_cl,JAT_MCV_VAR_MOVIMIENTOS_LINEA,DBRISKDATAMART.TBL_CARTERACREDITICIA  & DBRISKDATAMART.TBL_DEMOGRAFICOS_IDORIGINAL  & dbriskdatamart.Tbl_MovimientoLineas
ms_op,JAT_MCV_VAR_MOVIMIENTOS_LINEA,DBRISKDATAMART.TBL_CARTERACREDITICIA  & DBRISKDATAMART.TBL_DEMOGRAFICOS_IDORIGINAL  & dbriskdatamart.Tbl_MovimientoLineas
rfc,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
fecha,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
ctas_revolventes,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
sdo_revolventes,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
linea_revolvente,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
util_interna_t00,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
util_interna_t01,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
util_interna_t02,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
util_interna_t03,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
util_interna_t04,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
util_interna_t05,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
util_interna_t06,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
util_interna_t07,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
util_interna_t08,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
util_interna_t09,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
util_interna_t10,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
util_interna_t11,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
