VARIABLE,TABLA,TABLA INSUMO
SDO_TOT_ACT,BTDC_UNIVERSO,cartera_crediticia
SALDO_TOT_1_MES,BTDC_UNIVERSO,cartera_crediticia
SALDO_TOT_2_MES,BTDC_UNIVERSO,cartera_crediticia
SALDO_TOT_3_MES,BTDC_UNIVERSO,cartera_crediticia
SALDO_TOT_4_MES,BTDC_UNIVERSO,cartera_crediticia
SALDO_TOT_5_MES,BTDC_UNIVERSO,cartera_crediticia
SALDO_TOT_6_MES,BTDC_UNIVERSO,cartera_crediticia
SDO_TOT_AVG,BTDC_UNIVERSO,cartera_crediticia
SDO_TOT_MAX,BTDC_UNIVERSO,cartera_crediticia
SDO_TOT_MIN,BTDC_UNIVERSO,cartera_crediticia
SDO_TOT_WAVG,BTDC_UNIVERSO,cartera_crediticia
SDO_TOT_INCS,BTDC_UNIVERSO,cartera_crediticia
SDO_TOT_DECS,BTDC_UNIVERSO,cartera_crediticia
SDO_VIG_ACT,BTDC_UNIVERSO,cartera_crediticia
SDO_VIG_1_MES,BTDC_UNIVERSO,cartera_crediticia
SDO_VIG_2_MES,BTDC_UNIVERSO,cartera_crediticia
SDO_VIG_3_MES,BTDC_UNIVERSO,cartera_crediticia
SDO_VIG_4_MES,BTDC_UNIVERSO,cartera_crediticia
SDO_VIG_5_MES,BTDC_UNIVERSO,cartera_crediticia
SDO_VIG_6_MES,BTDC_UNIVERSO,cartera_crediticia
SDO_VIG_AVG,BTDC_UNIVERSO,cartera_crediticia
SDO_VIG_MAX,BTDC_UNIVERSO,cartera_crediticia
SDO_VIG_MIN,BTDC_UNIVERSO,cartera_crediticia
SDO_VIG_WAVG,BTDC_UNIVERSO,cartera_crediticia
SDO_ATR_ACT,BTDC_UNIVERSO,cartera_crediticia
SDO_ATR_1_MES,BTDC_UNIVERSO,cartera_crediticia
SDO_ATR_2_MES,BTDC_UNIVERSO,cartera_crediticia
SDO_ATR_3_MES,BTDC_UNIVERSO,cartera_crediticia
SDO_ATR_4_MES,BTDC_UNIVERSO,cartera_crediticia
SDO_ATR_5_MES,BTDC_UNIVERSO,cartera_crediticia
SDO_ATR_6_MES,BTDC_UNIVERSO,cartera_crediticia
SDO_ATR_AVG,BTDC_UNIVERSO,cartera_crediticia
SDO_ATR_MAX,BTDC_UNIVERSO,cartera_crediticia
SDO_ATR_MIN,BTDC_UNIVERSO,cartera_crediticia
SDO_ATR_WAVG,BTDC_UNIVERSO,cartera_crediticia
SDO_VENC_ACT,BTDC_UNIVERSO,cartera_crediticia
SDO_VENC_1_MES,BTDC_UNIVERSO,cartera_crediticia
SDO_VENC_2_MES,BTDC_UNIVERSO,cartera_crediticia
SDO_VENC_3_MES,BTDC_UNIVERSO,cartera_crediticia
SDO_VENC_4_MES,BTDC_UNIVERSO,cartera_crediticia
SDO_VENC_5_MES,BTDC_UNIVERSO,cartera_crediticia
